"id","hotel_id","url","local_path","file_size_bytes","content_type","status","error_message","created_at","downloaded_at","id_photo","category"
"48ab002d-23cb-42e1-b2b2-8cc36746d6c0","e0a6c30e-5056-4aa0-bc3e-dcef1bd92696","https://cf.bstatic.com/xdata/images/hotel/max1024x768/49086176.jpg?k=5d3c32cc9832fa6d7f15d4b7aa01e037a856e0c7684124144d385d4bcba92fa4&o=&hp=1","C:\BookingScraper\data\images\e0a6c30e-5056-4aa0-bc3e-dcef1bd92696\49086176_large.jpg",132510,"image/jpeg","done",NULL,"2026-03-11 18:03:00.366166+00","2026-03-11 18:03:00.365872+00","49086176","large_url"
"df43e1ab-eacb-4eea-b393-21faeb7d8926","e0a6c30e-5056-4aa0-bc3e-dcef1bd92696","https://cf.bstatic.com/xdata/images/hotel/max1024x768/228695928.jpg?k=ced5b29d6b7127d99715e7dea978f88a8c6619bda546ddfaebd79cf4e62c469a&o=&hp=1","C:\BookingScraper\data\images\e0a6c30e-5056-4aa0-bc3e-dcef1bd92696\228695928_large.jpg",64156,"image/jpeg","done",NULL,"2026-03-11 18:03:00.47127+00","2026-03-11 18:03:00.47106+00","228695928","large_url"
"7a7426c7-ade5-4a28-8dc5-df8b0228ba84","e0a6c30e-5056-4aa0-bc3e-dcef1bd92696","https://cf.bstatic.com/xdata/images/hotel/max1280x900/228700143.jpg?k=cd4511c5f7a618002d176acafd3a3a77b7b09df2530b5c8537d74e3bea4e4468&o=&hp=1","C:\BookingScraper\data\images\e0a6c30e-5056-4aa0-bc3e-dcef1bd92696\228700143_highr.jpg",142132,"image/jpeg","done",NULL,"2026-03-11 18:03:00.585918+00","2026-03-11 18:03:00.58569+00","228700143","highres_url"
"ca9891ba-a2c5-489d-8e21-62c7dfc27bcf","e0a6c30e-5056-4aa0-bc3e-dcef1bd92696","https://cf.bstatic.com/xdata/images/hotel/max1024x768/229052305.jpg?k=b6c20d2ef06db2c3a871de8ab293bb5cd43df774df99d37d7281ec58247dfa43&o=&hp=1","C:\BookingScraper\data\images\e0a6c30e-5056-4aa0-bc3e-dcef1bd92696\229052305_large.jpg",143773,"image/jpeg","done",NULL,"2026-03-11 18:03:00.687515+00","2026-03-11 18:03:00.687238+00","229052305","large_url"
"b74adb61-b1b8-4f94-9d9d-d39d825bcb14","e0a6c30e-5056-4aa0-bc3e-dcef1bd92696","https://cf.bstatic.com/xdata/images/hotel/max1024x768/229085490.jpg?k=e75d11ec4befaafdeb3b0883ae30b9528ca93f46439dc8327b5a61cfb604eed2&o=&hp=1","C:\BookingScraper\data\images\e0a6c30e-5056-4aa0-bc3e-dcef1bd92696\229085490_large.jpg",54050,"image/jpeg","done",NULL,"2026-03-11 18:03:00.798402+00","2026-03-11 18:03:00.798208+00","229085490","large_url"
"c3ccdc05-6879-4825-8f5a-49210c581964","e0a6c30e-5056-4aa0-bc3e-dcef1bd92696","https://cf.bstatic.com/xdata/images/hotel/max1024x768/228699497.jpg?k=e1463b3030b08526dd6fb638804e956a3c0950a093c4eef5a2ec8bf3e3817c49&o=&hp=1","C:\BookingScraper\data\images\e0a6c30e-5056-4aa0-bc3e-dcef1bd92696\228699497_large.jpg",121990,"image/jpeg","done",NULL,"2026-03-11 18:03:00.906379+00","2026-03-11 18:03:00.905803+00","228699497","large_url"
"20f79a35-c19d-4efb-bf7d-92c1d9630f7e","e0a6c30e-5056-4aa0-bc3e-dcef1bd92696","https://cf.bstatic.com/xdata/images/hotel/max1024x768/228694197.jpg?k=590f4a3e7beb4f4b893a13b2a07d959f88a39a39bc4ea301554c9c7143ac90cd&o=&hp=1","C:\BookingScraper\data\images\e0a6c30e-5056-4aa0-bc3e-dcef1bd92696\228694197_large.jpg",55928,"image/jpeg","done",NULL,"2026-03-11 18:03:00.995967+00","2026-03-11 18:03:00.99572+00","228694197","large_url"
"775052d2-372b-45c8-a52a-dc2e4ce11b65","e0a6c30e-5056-4aa0-bc3e-dcef1bd92696","https://cf.bstatic.com/xdata/images/hotel/max1024x768/228729242.jpg?k=73c4083059b81c0c6a61efc80eb197eb601cb8c34ebe91f3635f717f64a09a9e&o=&hp=1","C:\BookingScraper\data\images\e0a6c30e-5056-4aa0-bc3e-dcef1bd92696\228729242_large.jpg",83562,"image/jpeg","done",NULL,"2026-03-11 18:03:01.102581+00","2026-03-11 18:03:01.102319+00","228729242","large_url"
"d2eaca79-d03d-4fe2-a77f-c29b4554c96d","e0a6c30e-5056-4aa0-bc3e-dcef1bd92696","https://cf.bstatic.com/xdata/images/hotel/max1024x768/44713737.jpg?k=b2fc256b2d07c1e50fdad2006f5c5e982a2e6924a76a43792191618c2c0825a1&o=&hp=1","C:\BookingScraper\data\images\e0a6c30e-5056-4aa0-bc3e-dcef1bd92696\44713737_large.jpg",107382,"image/jpeg","done",NULL,"2026-03-11 18:03:01.209343+00","2026-03-11 18:03:01.209151+00","44713737","large_url"
"65bf3c45-1079-489c-843c-38b8d8477b06","e0a6c30e-5056-4aa0-bc3e-dcef1bd92696","https://cf.bstatic.com/xdata/images/hotel/max200/228730415.jpg?k=bc41bc3573fc543fcf2641471feadf8d27c26351c06fe88f111bd324c1804955&o=&hp=1","C:\BookingScraper\data\images\e0a6c30e-5056-4aa0-bc3e-dcef1bd92696\228730415_thumb.jpg",8055,"image/jpeg","done",NULL,"2026-03-11 18:03:01.387516+00","2026-03-11 18:03:01.387247+00","228730415","thumb_url"
