"id","recorded_at","cpu_usage","memory_usage","active_workers","db_pool_checked_out","redis_connected","urls_pending","urls_done","extra_data"
"66","2026-03-11 23:22:58.211452+00","13.6","43.7",NULL,0,NULL,0,20,"{}"
"67","2026-03-11 23:27:58.21233+00","15.4","43.1",NULL,0,NULL,0,20,"{}"
"68","2026-03-11 23:32:58.216958+00","15.2","43.1",NULL,0,NULL,0,20,"{}"
"69","2026-03-11 23:37:58.21671+00","14","43.1",NULL,0,NULL,0,20,"{}"
"70","2026-03-11 23:42:58.21639+00","12.4","42.9",NULL,0,NULL,0,20,"{}"
"71","2026-03-11 23:47:58.21619+00","13.8","43.6",NULL,0,NULL,0,20,"{}"
"72","2026-03-11 23:52:58.215905+00","13","43.5",NULL,0,NULL,0,20,"{}"
"73","2026-03-11 23:57:58.216452+00","14.3","43.3",NULL,0,NULL,0,20,"{}"
"74","2026-03-12 00:02:58.216845+00","7.4","46.1",NULL,0,NULL,0,20,"{}"
"75","2026-03-12 00:07:58.217201+00","4.3","50.3",NULL,0,NULL,0,20,"{}"
"76","2026-03-12 00:12:58.217666+00","3.1","46.2",NULL,0,NULL,0,20,"{}"
