"id","url_id","hotel_id","language","event_type","status","error_message","duration_ms","worker_id","extra_data","scraped_at"
"0e706808-a679-444d-a744-c77d96d1fd74","f18d136f-0db5-43db-8c0e-0cdf45517523",NULL,"es","scrape_success","done",NULL,142728,NULL,"{}","2026-03-10 19:51:39.251212+00"
"caf4bde9-0b06-4604-874a-bdc12c4b50f0","0ba54c40-803c-4910-bf6a-43f8072a51cd",NULL,"es","scrape_success","done",NULL,230757,NULL,"{}","2026-03-10 19:53:07.403391+00"
"cf962301-3be2-4ee2-8682-8d430c46f769","f18d136f-0db5-43db-8c0e-0cdf45517523",NULL,"en","scrape_success","done",NULL,279412,NULL,"{}","2026-03-10 19:56:19.071903+00"
"8389cf7d-1ef4-40fb-b83f-846edabb4254","0ba54c40-803c-4910-bf6a-43f8072a51cd",NULL,"en","scrape_success","done",NULL,386274,NULL,"{}","2026-03-10 19:59:34.260901+00"
"0ac51608-6adf-4496-b083-f1f736fbcb96","f18d136f-0db5-43db-8c0e-0cdf45517523",NULL,"de","scrape_success","done",NULL,273596,NULL,"{}","2026-03-10 20:01:03.015889+00"
"63f8b902-a590-4584-9129-27942092a227","0ba54c40-803c-4910-bf6a-43f8072a51cd",NULL,"de","scrape_success","done",NULL,164785,NULL,"{}","2026-03-10 20:02:32.53728+00"
"ba80fa9e-8338-4d46-8c4e-e29176a77dd8","f18d136f-0db5-43db-8c0e-0cdf45517523",NULL,"fr","scrape_success","done",NULL,177910,NULL,"{}","2026-03-10 20:04:01.257696+00"
"fcbe12c8-d07a-4041-b773-fba342483e12","0ba54c40-803c-4910-bf6a-43f8072a51cd",NULL,"fr","scrape_success","done",NULL,179031,NULL,"{}","2026-03-10 20:05:31.847191+00"
"d8029310-bb83-4b7f-af8e-950af556463e","f18d136f-0db5-43db-8c0e-0cdf45517523",NULL,"it","scrape_success","done",NULL,178823,NULL,"{}","2026-03-10 20:07:00.44783+00"
"47e9434f-ee05-4c7e-9f38-2913246a52bf","0ba54c40-803c-4910-bf6a-43f8072a51cd",NULL,"it","scrape_success","done",NULL,176854,NULL,"{}","2026-03-10 20:08:29.054697+00"
